;file;sp;stage;p;year;p_norm;s;s_norm;i;i_norm;l;l_norm;classic?;type
68;sukhovo-kobylin-delo;2691;901;33.48197696023783;1861;0.18989913672856112;3.736958934517203;0.07900338525404575;0.03716090672612412;0.06232880123512128;1.3629242819843341;0.8025490565529863;0.11041044107257607;small_retreat
69;chekhov-predlozhenie;393;79;20.10178117048346;1889;0.09159948592125246;2.2025316455696204;0.004623857443556997;0.10687022900763359;0.2211510715878387;1.103448275862069;0.22875933167436896;0.10579147165088272;small_retreat
70;turgenev-razgovor-na-bolshoj-doroge;406;105;25.862068965517242;1851;0.13391831949430122;4.438095238095238;0.11299012908124527;0.14285714285714285;0.30314187530682374;1.1474103585657371;0.32597445270464553;0.18335010796079007;small_retreat
71;chekhov-djadja-vanja;1072;412;38.43283582089552;1897;0.22627137707885386;3.5898058252427183;0.07187031426233495;0.11473880597014925;0.23907844796635377;1.3090507726269316;0.6834163992626476;0.1790733797691809;small_retreat
72;fonvizin-brigadir;1434;165;11.506276150627615;1772;0.02845129622052394;3.587878787878788;0.07177690343066197;0.07112970711297072;0.13972163510618416;1.2645502645502646;0.5850106365570286;0.07998327825245669;classic
73;ostrovsky-volki-i-ovtsy;3356;438;13.051251489868893;1875;0.03980169338508657;3.8881278538812785;0.08633111783734307;0.06406436233611443;0.12362430319190332;1.3634204275534443;0.8036462031980803;0.08325237147144432;classic
74;pushkin-mocart-i-saleri;84;17;20.238095238095237;1831;0.09260093802680552;2.9411764705882355;0.04042878199115638;0.023809523809523808;0.031909671084928815;1.0588235294117647;0.13007883565797457;0.0549797970342969;classic
75;chekhov-tragik-ponevole;60;16;26.666666666666668;1889;0.13982941932468745;4.75;0.12810933940774488;0.1;0.2054982817869416;1.0625;0.13820876288659795;0.1578123468397913;small_retreat
76;ostrovsky-svoi-ljudi;1738;234;13.463751438434981;1850;0.04283218722383358;3.2094017094017095;0.053430679672137535;0.047756041426927506;0.08646823184210631;1.2916666666666667;0.6449742268041239;0.060910366246025804;classic
77;tolstoy-vlast-tmy;2289;604;26.38706858890345;1887;0.13777530936677754;3.9172185430463577;0.08774125420507174;0.1052861511577108;0.21754198700193214;1.306878306878307;0.678612338406153;0.1476861835245938;small_retreat
78;shakhovskoy-urok-koketkam;2362;489;20.702794242167656;1815;0.09601492019482441;2.541922290388548;0.021075413073959676;0.1388653683319221;0.2940472137596713;1.2791519434628975;0.6172999162143455;0.13704584900948513;small_retreat
79;chekhov-svadba;306;96;31.372549019607842;1890;0.1744019023662742;2.8854166666666665;0.037725892179195135;0.12745098039215685;0.26804123711340205;1.2302158273381294;0.50908551509308;0.16005634388629045;small_retreat
80;turgenev-provintsialka;1110;310;27.927927927927925;1851;0.14909546770745505;4.332258064516129;0.1078597986626497;0.04684684684684685;0.08439676790192255;1.324607329842932;0.7178172397042155;0.11378401142400911;small_retreat
81;tretyakov-protivogazy;996;123;12.349397590361445;1923;0.0346454165769281;3.3008130081300813;0.05786173305924403;0.07429718875502007;0.14693826853806977;1.2183406113537119;0.4828253725295999;0.07981513939141396;classic
82;bulgakov-ivan-vasilevich;1226;319;26.019575856443723;1936;0.1350754679113426;4.721003134796239;0.12670375104433704;0.09216965742251224;0.1876580167392633;1.3024282560706402;0.6687717621355909;0.14981241189831432;small_retreat
83;chekhov-ivanov;1268;549;43.29652996845426;1889;0.262003248558991;3.2987249544626596;0.05776051715481867;0.13958990536277602;0.29569796307739005;1.341991341991342;0.7562592047128132;0.20515390959706656;significant_retreat
84;blok-balaganchik;153;38;24.836601307189543;1906;0.12638456480851482;22.736842105263158;1.0;0.0718954248366013;0.14146620847651775;1.2604651162790699;0.575976983936706;0.4226169244283442;significant_retreat
85;kheraskov-venecianskaya-monahinya;452;48;10.619469026548673;1758;0.02193623231561871;2.875;0.03722095671981777;0.033185840707964605;0.05327220752364444;1.2542372881355932;0.5622051371658221;0.03747646551969364;classic
